,days,total,week
0,"[0, 0, 0, 0, 0, 0, 0]",0,1666483200
1,"[0, 0, 0, 0, 0, 0, 0]",0,1667088000
2,"[0, 0, 0, 0, 0, 0, 0]",0,1667692800
3,"[0, 0, 0, 0, 0, 0, 0]",0,1668301200
4,"[0, 0, 0, 0, 0, 0, 0]",0,1668906000
5,"[0, 0, 0, 0, 0, 0, 0]",0,1669510800
6,"[0, 0, 0, 0, 0, 0, 0]",0,1670115600
7,"[0, 0, 0, 0, 0, 0, 0]",0,1670720400
8,"[0, 0, 0, 0, 0, 0, 0]",0,1671325200
9,"[0, 0, 0, 0, 0, 0, 0]",0,1671930000
10,"[0, 0, 0, 0, 0, 0, 0]",0,1672534800
11,"[0, 0, 0, 0, 0, 0, 0]",0,1673139600
12,"[0, 0, 0, 0, 0, 0, 0]",0,1673744400
13,"[0, 0, 0, 0, 0, 0, 0]",0,1674349200
14,"[0, 0, 0, 0, 0, 0, 0]",0,1674954000
15,"[0, 0, 0, 0, 0, 0, 0]",0,1675558800
16,"[0, 0, 0, 0, 0, 0, 0]",0,1676163600
17,"[0, 0, 0, 0, 0, 0, 0]",0,1676768400
18,"[0, 0, 0, 0, 0, 0, 0]",0,1677373200
19,"[0, 0, 0, 0, 0, 0, 0]",0,1677978000
20,"[0, 0, 0, 0, 0, 0, 0]",0,1678582800
21,"[0, 0, 0, 0, 0, 0, 0]",0,1679184000
22,"[0, 0, 0, 0, 0, 0, 0]",0,1679788800
23,"[0, 0, 0, 0, 0, 0, 0]",0,1680393600
24,"[0, 0, 0, 0, 0, 0, 0]",0,1680998400
25,"[0, 0, 0, 0, 0, 0, 0]",0,1681603200
26,"[0, 0, 0, 0, 0, 0, 0]",0,1682208000
27,"[0, 0, 0, 0, 0, 0, 0]",0,1682812800
28,"[0, 0, 0, 0, 0, 0, 0]",0,1683417600
29,"[0, 0, 0, 0, 0, 0, 0]",0,1684022400
30,"[0, 0, 0, 0, 0, 0, 0]",0,1684627200
31,"[0, 0, 0, 0, 0, 0, 0]",0,1685232000
32,"[0, 0, 0, 0, 0, 0, 0]",0,1685836800
33,"[0, 0, 0, 0, 0, 0, 0]",0,1686441600
34,"[0, 0, 0, 0, 0, 0, 0]",0,1687046400
35,"[0, 0, 0, 0, 0, 0, 0]",0,1687651200
36,"[0, 0, 0, 0, 0, 0, 0]",0,1688256000
37,"[0, 0, 0, 0, 0, 0, 0]",0,1688860800
38,"[0, 0, 0, 0, 0, 0, 0]",0,1689465600
39,"[0, 0, 0, 0, 0, 0, 0]",0,1690070400
40,"[0, 0, 0, 0, 0, 0, 0]",0,1690675200
41,"[0, 0, 0, 0, 0, 0, 0]",0,1691280000
42,"[0, 0, 0, 0, 0, 0, 0]",0,1691884800
43,"[0, 0, 0, 0, 0, 0, 0]",0,1692489600
44,"[0, 0, 0, 0, 0, 0, 0]",0,1693094400
45,"[0, 0, 0, 0, 0, 0, 0]",0,1693699200
46,"[0, 0, 0, 0, 0, 0, 0]",0,1694304000
47,"[0, 0, 0, 0, 0, 0, 0]",0,1694908800
48,"[0, 0, 0, 0, 0, 0, 17]",17,1695513600
49,"[5, 0, 0, 0, 0, 0, 0]",5,1696118400
50,"[0, 0, 0, 0, 1, 0, 0]",1,1696723200
51,"[3, 2, 0, 0, 0, 0, 0]",5,1697328000
